,condition,initial_tempo,note_duration,melodic_interval,motion_direction,strongest_pitch,pitches_classes,importance_bass,importance_middle,importance_height
30,christmas,120.0,0.37225274725274726,3.611764705882353,0.4861111111111111,2,"[0.37037037037037035, 0.0, 0.2222222222222222, 0.037037037037037035, 0.4074074074074074, 0.2222222222222222, 0.037037037037037035, 1.0, 0.037037037037037035, 0.6296296296296295, 0.037037037037037035, 0.3333333333333333]",0.24444444444444444,0.7555555555555555,0.0
31,christmas,120.0,0.9653846153846154,2.4126984126984126,0.48,1,"[0.0, 1.0, 0.5714285714285714, 0.0, 0.23809523809523808, 0.0, 0.14285714285714285, 0.19047619047619047, 0.0, 0.47619047619047616, 0.0, 0.5238095238095237]",0.0,1.0,0.0
32,christmas,120.0,0.6811594202898551,2.176470588235294,0.4807692307692308,6,"[0.0, 0.8666666666666667, 0.4666666666666667, 0.0, 0.3333333333333333, 0.0, 0.8, 1.0, 0.0, 0.8666666666666667, 0.0, 0.26666666666666666]",0.0,0.8115942028985508,0.18840579710144928
33,christmas,120.0,0.40625,2.297872340425532,0.45454545454545453,2,"[0.46153846153846156, 0.0, 0.07692307692307693, 0.0, 0.38461538461538464, 0.0, 0.15384615384615385, 1.0, 0.0, 0.8461538461538463, 0.0, 0.7692307692307693]",0.0,0.9583333333333334,0.041666666666666664
34,christmas,120.0,0.5815217391304348,2.111111111111111,0.45714285714285713,2,"[0.30000000000000004, 0.0, 0.1, 0.6000000000000001, 0.0, 0.9, 0.0, 1.0, 0.0, 0.9, 0.8, 0.0]",0.0,0.9782608695652174,0.021739130434782608
35,christmas,120.0,0.6666666666666666,2.625,0.2962962962962963,2,"[0.6666666666666666, 0.0, 0.8333333333333333, 0.0, 1.0, 0.0, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 1.0]",0.0,0.7272727272727273,0.2727272727272727
36,christmas,120.0,0.4004237288135593,1.5535714285714286,0.5,3,"[0.19230769230769232, 0.0, 0.19230769230769232, 0.0, 1.0, 0.2692307692307693, 0.0, 0.34615384615384615, 0.0, 0.11538461538461539, 0.0, 0.15384615384615385]",0.0,1.0,0.0
37,christmas,120.0,0.5681818181818182,2.4186046511627906,0.48484848484848486,5,"[0.30000000000000004, 0.5, 0.0, 0.7000000000000001, 0.0, 1.0, 0.0, 0.6000000000000001, 0.5, 0.0, 0.8, 0.0]",0.0,0.8863636363636364,0.11363636363636363
38,christmas,120.0,0.5912162162162162,3.5492957746478875,0.5185185185185185,2,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 1.0, 0.0, 0.8333333333333333, 0.5, 0.05555555555555555, 0.5555555555555556, 0.05555555555555555, 0.3333333333333333]",0.625,0.3611111111111111,0.013888888888888888
39,christmas,120.0,0.5381944444444444,2.619718309859155,0.5,5,"[0.5, 0.0, 0.375, 0.6875, 0.0, 0.8125, 0.0, 0.6875, 0.4375, 0.0, 1.0, 0.0]",0.4861111111111111,0.5138888888888888,0.0
40,christmas,120.0,0.8369565217391305,2.5,0.5555555555555556,3,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0, 0.16666666666666666, 0.0, 1.0, 0.8333333333333333, 0.0, 1.0]",0.0,0.8695652173913043,0.13043478260869565
41,christmas,120.0,0.7063492063492064,2.482142857142857,0.48936170212765956,4,"[0.5, 0.0, 0.5833333333333333, 0.0, 0.3333333333333333, 0.8333333333333333, 0.0, 0.6666666666666666, 0.0, 1.0, 0.8333333333333333, 0.0]",0.0,0.9298245614035088,0.07017543859649122
42,christmas,120.0,0.5263157894736842,3.875,0.5294117647058824,5,"[0.2, 0.0, 0.4, 0.6000000000000001, 0.0, 1.0, 0.0, 0.6000000000000001, 0.0, 0.6000000000000001, 0.8, 0.0]",0.47619047619047616,0.5238095238095238,0.0
43,christmas,120.0,0.5590909090909091,2.3207547169811322,0.425,3,"[0.6428571428571428, 0.0, 0.5, 0.2857142857142857, 0.0, 0.14285714285714285, 0.0, 0.8571428571428571, 0.42857142857142855, 0.0, 1.0, 0.0]",0.0,0.8333333333333334,0.16666666666666666
